fetching Stockfish ...
compiled board: on
  worker 1: 25/500 games, 2124 positions, 16 pos/s
compiled board: on
  worker 0: 25/500 games, 2238 positions, 17 pos/s
compiled board: on
  worker 5: 25/500 games, 2327 positions, 17 pos/s
compiled board: on
  worker 4: 25/500 games, 2397 positions, 17 pos/s
compiled board: on
  worker 2: 25/500 games, 2529 positions, 17 pos/s
compiled board: on
  worker 3: 25/500 games, 2502 positions, 16 pos/s
  worker 1: 50/500 games, 4457 positions, 16 pos/s
  worker 0: 50/500 games, 4607 positions, 17 pos/s
  worker 2: 50/500 games, 4742 positions, 17 pos/s
  worker 5: 50/500 games, 4801 positions, 17 pos/s
  worker 3: 50/500 games, 4851 positions, 17 pos/s
  worker 4: 50/500 games, 5048 positions, 17 pos/s
  worker 1: 75/500 games, 6681 positions, 17 pos/s
  worker 5: 75/500 games, 6834 positions, 17 pos/s
  worker 0: 75/500 games, 7107 positions, 17 pos/s
  worker 3: 75/500 games, 7329 positions, 17 pos/s
  worker 2: 75/500 games, 7376 positions, 17 pos/s
  worker 4: 75/500 games, 7434 positions, 17 pos/s
  worker 1: 100/500 games, 9001 positions, 17 pos/s
  worker 5: 100/500 games, 9110 positions, 17 pos/s
  worker 0: 100/500 games, 9444 positions, 17 pos/s
  worker 2: 100/500 games, 9554 positions, 17 pos/s
  worker 4: 100/500 games, 9667 positions, 17 pos/s
  worker 3: 100/500 games, 9693 positions, 17 pos/s
  worker 1: 125/500 games, 11426 positions, 17 pos/s
  worker 5: 125/500 games, 11454 positions, 17 pos/s
  worker 0: 125/500 games, 11851 positions, 17 pos/s
  worker 4: 125/500 games, 11921 positions, 17 pos/s
  worker 2: 125/500 games, 12117 positions, 17 pos/s
  worker 3: 125/500 games, 12280 positions, 17 pos/s
  worker 1: 150/500 games, 13565 positions, 17 pos/s
  worker 5: 150/500 games, 13703 positions, 17 pos/s
  worker 0: 150/500 games, 14157 positions, 17 pos/s
  worker 4: 150/500 games, 14376 positions, 17 pos/s
  worker 2: 150/500 games, 14704 positions, 17 pos/s
  worker 3: 150/500 games, 14568 positions, 17 pos/s
  worker 1: 175/500 games, 15830 positions, 17 pos/s
  worker 5: 175/500 games, 16077 positions, 17 pos/s
  worker 0: 175/500 games, 16583 positions, 17 pos/s
  worker 4: 175/500 games, 16625 positions, 17 pos/s
  worker 3: 175/500 games, 16675 positions, 17 pos/s
  worker 2: 175/500 games, 16883 positions, 17 pos/s
  worker 1: 200/500 games, 18082 positions, 17 pos/s
  worker 5: 200/500 games, 18507 positions, 17 pos/s
  worker 0: 200/500 games, 18747 positions, 17 pos/s
  worker 3: 200/500 games, 19164 positions, 17 pos/s
  worker 2: 200/500 games, 19428 positions, 17 pos/s
  worker 4: 200/500 games, 19341 positions, 17 pos/s
  worker 1: 225/500 games, 20322 positions, 17 pos/s
  worker 0: 225/500 games, 20889 positions, 17 pos/s
  worker 5: 225/500 games, 20913 positions, 17 pos/s
  worker 3: 225/500 games, 21581 positions, 17 pos/s
  worker 2: 225/500 games, 21707 positions, 17 pos/s
  worker 4: 225/500 games, 21806 positions, 17 pos/s
  worker 1: 250/500 games, 22507 positions, 17 pos/s
  worker 0: 250/500 games, 23218 positions, 17 pos/s
  worker 5: 250/500 games, 23282 positions, 17 pos/s
  worker 3: 250/500 games, 23701 positions, 17 pos/s
  worker 2: 250/500 games, 24205 positions, 17 pos/s
  worker 4: 250/500 games, 24290 positions, 17 pos/s
  worker 1: 275/500 games, 25126 positions, 17 pos/s
  worker 0: 275/500 games, 25592 positions, 17 pos/s
  worker 5: 275/500 games, 25604 positions, 17 pos/s
  worker 3: 275/500 games, 25930 positions, 17 pos/s
  worker 2: 275/500 games, 26154 positions, 17 pos/s
  worker 4: 275/500 games, 26657 positions, 17 pos/s
  worker 1: 300/500 games, 27414 positions, 17 pos/s
  worker 5: 300/500 games, 27716 positions, 17 pos/s
  worker 0: 300/500 games, 28000 positions, 17 pos/s
  worker 3: 300/500 games, 28048 positions, 17 pos/s
  worker 2: 300/500 games, 28365 positions, 17 pos/s
  worker 4: 300/500 games, 29179 positions, 17 pos/s
  worker 1: 325/500 games, 29809 positions, 17 pos/s
  worker 5: 325/500 games, 30162 positions, 17 pos/s
  worker 0: 325/500 games, 30489 positions, 17 pos/s
  worker 3: 325/500 games, 30399 positions, 17 pos/s
  worker 2: 325/500 games, 30631 positions, 17 pos/s
  worker 4: 325/500 games, 31302 positions, 17 pos/s
  worker 1: 350/500 games, 32058 positions, 17 pos/s
  worker 5: 350/500 games, 32436 positions, 17 pos/s
  worker 2: 350/500 games, 32843 positions, 17 pos/s
  worker 0: 350/500 games, 32985 positions, 17 pos/s
  worker 3: 350/500 games, 32952 positions, 17 pos/s
  worker 4: 350/500 games, 33698 positions, 17 pos/s
  worker 1: 375/500 games, 34548 positions, 17 pos/s
  worker 5: 375/500 games, 34820 positions, 17 pos/s
  worker 2: 375/500 games, 35160 positions, 17 pos/s
  worker 3: 375/500 games, 35160 positions, 17 pos/s
  worker 0: 375/500 games, 35381 positions, 17 pos/s
  worker 4: 375/500 games, 36107 positions, 17 pos/s
  worker 5: 400/500 games, 37007 positions, 17 pos/s
  worker 1: 400/500 games, 37076 positions, 17 pos/s
  worker 3: 400/500 games, 37333 positions, 17 pos/s
  worker 2: 400/500 games, 37655 positions, 17 pos/s
  worker 0: 400/500 games, 37887 positions, 17 pos/s
  worker 4: 400/500 games, 38366 positions, 17 pos/s
  worker 5: 425/500 games, 39219 positions, 17 pos/s
  worker 1: 425/500 games, 39720 positions, 17 pos/s
  worker 3: 425/500 games, 39749 positions, 17 pos/s
  worker 2: 425/500 games, 39957 positions, 17 pos/s
  worker 0: 425/500 games, 40381 positions, 17 pos/s
  worker 4: 425/500 games, 41218 positions, 17 pos/s
  worker 5: 450/500 games, 41582 positions, 17 pos/s
  worker 3: 450/500 games, 41949 positions, 17 pos/s
