compiled board: on
  worker 1: 25/500 games, 2239 positions, 16 pos/s
compiled board: on
  worker 0: 25/500 games, 2309 positions, 17 pos/s
compiled board: on
  worker 2: 25/500 games, 2264 positions, 16 pos/s
compiled board: on
  worker 5: 25/500 games, 2430 positions, 17 pos/s
compiled board: on
  worker 3: 25/500 games, 2483 positions, 17 pos/s
compiled board: on
  worker 4: 25/500 games, 2567 positions, 17 pos/s
  worker 0: 50/500 games, 4520 positions, 17 pos/s
  worker 1: 50/500 games, 4537 positions, 17 pos/s
  worker 2: 50/500 games, 4676 positions, 17 pos/s
  worker 3: 50/500 games, 4739 positions, 16 pos/s
  worker 5: 50/500 games, 4847 positions, 17 pos/s
  worker 4: 50/500 games, 4987 positions, 17 pos/s
  worker 1: 75/500 games, 6719 positions, 17 pos/s
  worker 3: 75/500 games, 6903 positions, 16 pos/s
  worker 0: 75/500 games, 7137 positions, 17 pos/s
  worker 2: 75/500 games, 7050 positions, 17 pos/s
  worker 5: 75/500 games, 7288 positions, 17 pos/s
  worker 4: 75/500 games, 7433 positions, 17 pos/s
  worker 1: 100/500 games, 9013 positions, 17 pos/s
  worker 2: 100/500 games, 9285 positions, 17 pos/s
  worker 0: 100/500 games, 9536 positions, 17 pos/s
  worker 3: 100/500 games, 9483 positions, 16 pos/s
  worker 5: 100/500 games, 9872 positions, 17 pos/s
  worker 4: 100/500 games, 9859 positions, 17 pos/s
  worker 1: 125/500 games, 11472 positions, 17 pos/s
  worker 2: 125/500 games, 11686 positions, 17 pos/s
  worker 0: 125/500 games, 11903 positions, 17 pos/s
  worker 3: 125/500 games, 11993 positions, 17 pos/s
  worker 5: 125/500 games, 12226 positions, 17 pos/s
  worker 4: 125/500 games, 12614 positions, 17 pos/s
  worker 1: 150/500 games, 13597 positions, 17 pos/s
  worker 0: 150/500 games, 14211 positions, 17 pos/s
  worker 2: 150/500 games, 14178 positions, 17 pos/s
  worker 3: 150/500 games, 14407 positions, 17 pos/s
  worker 5: 150/500 games, 14889 positions, 17 pos/s
  worker 4: 150/500 games, 15228 positions, 17 pos/s
  worker 1: 175/500 games, 16130 positions, 17 pos/s
  worker 0: 175/500 games, 16539 positions, 17 pos/s
  worker 2: 175/500 games, 16547 positions, 17 pos/s
  worker 3: 175/500 games, 16594 positions, 17 pos/s
  worker 5: 175/500 games, 17030 positions, 17 pos/s
  worker 4: 175/500 games, 17548 positions, 17 pos/s
  worker 1: 200/500 games, 18437 positions, 17 pos/s
  worker 3: 200/500 games, 18892 positions, 17 pos/s
  worker 0: 200/500 games, 19041 positions, 17 pos/s
  worker 2: 200/500 games, 19184 positions, 17 pos/s
  worker 5: 200/500 games, 19416 positions, 17 pos/s
  worker 4: 200/500 games, 20162 positions, 17 pos/s
  worker 1: 225/500 games, 20906 positions, 17 pos/s
  worker 0: 225/500 games, 21270 positions, 17 pos/s
  worker 2: 225/500 games, 21451 positions, 17 pos/s
  worker 3: 225/500 games, 21430 positions, 17 pos/s
  worker 5: 225/500 games, 21986 positions, 17 pos/s
  worker 4: 225/500 games, 22723 positions, 17 pos/s
  worker 1: 250/500 games, 23440 positions, 17 pos/s
  worker 0: 250/500 games, 23632 positions, 17 pos/s
  worker 2: 250/500 games, 23822 positions, 17 pos/s
  worker 3: 250/500 games, 23797 positions, 17 pos/s
  worker 5: 250/500 games, 24544 positions, 17 pos/s
  worker 4: 250/500 games, 25186 positions, 17 pos/s
  worker 2: 275/500 games, 26084 positions, 17 pos/s
  worker 1: 275/500 games, 26078 positions, 17 pos/s
  worker 3: 275/500 games, 26117 positions, 17 pos/s
  worker 0: 275/500 games, 26418 positions, 17 pos/s
  worker 5: 275/500 games, 27020 positions, 17 pos/s
  worker 4: 275/500 games, 27557 positions, 17 pos/s
  worker 2: 300/500 games, 28193 positions, 17 pos/s
  worker 3: 300/500 games, 28345 positions, 17 pos/s
  worker 1: 300/500 games, 28534 positions, 17 pos/s
  worker 0: 300/500 games, 28632 positions, 17 pos/s
  worker 5: 300/500 games, 29705 positions, 17 pos/s
  worker 4: 300/500 games, 29771 positions, 17 pos/s
  worker 2: 325/500 games, 30097 positions, 17 pos/s
  worker 3: 325/500 games, 30554 positions, 17 pos/s
  worker 1: 325/500 games, 30707 positions, 17 pos/s
  worker 0: 325/500 games, 30891 positions, 17 pos/s
  worker 5: 325/500 games, 31878 positions, 17 pos/s
  worker 4: 325/500 games, 31878 positions, 17 pos/s
  worker 2: 350/500 games, 32741 positions, 17 pos/s
