stage 1: crash gate, 110-v85all vs random
  clean over 24 games, 100% vs random

stage 2: SPRT[0, 20], challenger vs champion
  note: 300 pairs over 119 openings, 2.5 repeats each -- the SPRT will read more confident than the evidence warrants
      5 games  .... llr +0.00 [-2.94, 2.94] after 1 pairs, elo +0.0 +/- inf
      6 games  .... llr -0.72 [-2.94, 2.94] after 2 pairs, elo -338.0 +/- 245.6
      7 games  .... llr -0.11 [-2.94, 2.94] after 3 pairs, elo -120.4 +/- 325.9
      9 games  .... llr -0.15 [-2.94, 2.94] after 4 pairs, elo -88.7 +/- 228.8
     12 games  .... llr -0.09 [-2.94, 2.94] after 5 pairs, elo -34.9 +/- 212.7
     13 games  .... llr -0.20 [-2.94, 2.94] after 6 pairs, elo -88.7 +/- 196.8
     14 games  .... llr -0.24 [-2.94, 2.94] after 7 pairs, elo -75.6 +/- 167.0
     17 games  .... llr -0.36 [-2.94, 2.94] after 8 pairs, elo -88.7 +/- 146.3
     19 games  .... llr -0.41 [-2.94, 2.94] after 9 pairs, elo -78.5 +/- 130.0
     20 games  .... llr -0.31 [-2.94, 2.94] after 10 pairs, elo -52.5 +/- 126.3
     22 games  .... llr -0.22 [-2.94, 2.94] after 11 pairs, elo -31.7 +/- 121.9
     25 games  .... llr -0.25 [-2.94, 2.94] after 12 pairs, elo -29.0 +/- 111.1
     27 games  .... llr -0.16 [-2.94, 2.94] after 13 pairs, elo -13.4 +/- 107.6
     28 games  .... llr -0.18 [-2.94, 2.94] after 14 pairs, elo -12.4 +/- 99.3
     30 games  .... llr -0.20 [-2.94, 2.94] after 15 pairs, elo -11.6 +/- 92.2
     34 games  .... llr -0.37 [-2.94, 2.94] after 16 pairs, elo -32.7 +/- 95.1
     35 games  .... llr -0.28 [-2.94, 2.94] after 17 pairs, elo -20.5 +/- 92.8
     36 games  .... llr -0.19 [-2.94, 2.94] after 18 pairs, elo -9.7 +/- 90.5
     38 games  .... llr -0.35 [-2.94, 2.94] after 19 pairs, elo -27.5 +/- 92.0
