stage 1: crash gate, 132-v9core vs random
  clean over 24 games, 100% vs random

stage 2: SPRT[0, 20], challenger vs champion
  note: 300 pairs over 119 openings, 2.5 repeats each -- the SPRT will read more confident than the evidence warrants
      3 games  .... llr +0.00 [-2.94, 2.94] after 1 pairs, elo +0.0 +/- inf
      5 games  .... llr -0.08 [-2.94, 2.94] after 2 pairs, elo -0.0 +/- 98.9
      7 games  .... llr -0.12 [-2.94, 2.94] after 3 pairs, elo -0.0 +/- 80.0
     11 games  .... llr +0.20 [-2.94, 2.94] after 4 pairs, elo +88.7 +/- 241.5
     12 games  .... llr +0.36 [-2.94, 2.94] after 5 pairs, elo +147.2 +/- 331.0
     13 games  .... llr +0.55 [-2.94, 2.94] after 6 pairs, elo +154.1 +/- 237.5
     14 games  .... llr +0.80 [-2.94, 2.94] after 7 pairs, elo +159.2 +/- 188.5
     16 games  .... llr +1.08 [-2.94, 2.94] after 8 pairs, elo +163.0 +/- 157.2
     18 games  .... llr +1.30 [-2.94, 2.94] after 9 pairs, elo +190.8 +/- 174.9
     20 games  .... llr +1.56 [-2.94, 2.94] after 10 pairs, elo +214.8 +/- 188.5
     22 games  .... llr +0.99 [-2.94, 2.94] after 11 pairs, elo +170.4 +/- 178.4
     24 games  .... llr +1.01 [-2.94, 2.94] after 12 pairs, elo +154.1 +/- 152.7
     26 games  .... llr +1.20 [-2.94, 2.94] after 13 pairs, elo +173.5 +/- 159.6
     28 games  .... llr +1.22 [-2.94, 2.94] after 14 pairs, elo +159.2 +/- 140.5
     30 games  .... llr +0.96 [-2.94, 2.94] after 15 pairs, elo +133.6 +/- 132.7
     32 games  .... llr +0.79 [-2.94, 2.94] after 16 pairs, elo +112.3 +/- 125.1
     34 games  .... llr +0.66 [-2.94, 2.94] after 17 pairs, elo +94.2 +/- 118.1
     36 games  .... llr +0.78 [-2.94, 2.94] after 18 pairs, elo +99.1 +/- 112.4
     38 games  .... llr +0.66 [-2.94, 2.94] after 19 pairs, elo +83.9 +/- 107.2
