stage 1: crash gate, 133-conthist vs random
  clean over 24 games, 100% vs random

stage 2: SPRT[0, 20], challenger vs champion
  note: 300 pairs over 119 openings, 2.5 repeats each -- the SPRT will read more confident than the evidence warrants
      3 games  .... llr +0.00 [-2.94, 2.94] after 1 pairs, elo +0.0 +/- inf
      4 games  .... llr +1.35 [-2.94, 2.94] after 2 pairs, elo +190.8 +/- 169.9
      7 games  .... llr +0.07 [-2.94, 2.94] after 3 pairs, elo +58.5 +/- 343.5
      8 games  .... llr +0.20 [-2.94, 2.94] after 4 pairs, elo +88.7 +/- 241.5
     11 games  .... llr +0.07 [-2.94, 2.94] after 5 pairs, elo +34.9 +/- 195.4
     13 games  .... llr +0.18 [-2.94, 2.94] after 6 pairs, elo +58.5 +/- 171.6
     14 games  .... llr +0.31 [-2.94, 2.94] after 7 pairs, elo +75.6 +/- 152.3
     18 games  .... llr +0.04 [-2.94, 2.94] after 8 pairs, elo +21.7 +/- 166.5
     19 games  .... llr -0.04 [-2.94, 2.94] after 9 pairs, elo -0.0 +/- 147.2
     21 games  .... llr +0.03 [-2.94, 2.94] after 10 pairs, elo +17.4 +/- 138.6
     23 games  .... llr -0.05 [-2.94, 2.94] after 11 pairs, elo -0.0 +/- 126.8
     24 games  .... llr -0.06 [-2.94, 2.94] after 12 pairs, elo -0.0 +/- 114.9
     26 games  .... llr -0.16 [-2.94, 2.94] after 13 pairs, elo -13.4 +/- 107.6
     28 games  .... llr -0.31 [-2.94, 2.94] after 14 pairs, elo -37.4 +/- 109.3
     31 games  .... llr -0.34 [-2.94, 2.94] after 15 pairs, elo -34.9 +/- 101.7
     32 games  .... llr -0.45 [-2.94, 2.94] after 16 pairs, elo -43.7 +/- 96.4
     34 games  .... llr -0.56 [-2.94, 2.94] after 17 pairs, elo -51.5 +/- 91.8
     37 games  .... llr -0.47 [-2.94, 2.94] after 18 pairs, elo -38.8 +/- 90.0
     38 games  .... llr -0.50 [-2.94, 2.94] after 19 pairs, elo -36.7 +/- 85.1
