stage 1: crash gate, 142-v92prune vs random
  clean over 24 games, 100% vs random

stage 2: SPRT[0, 20], challenger vs champion
  note: 300 pairs over 119 openings, 2.5 repeats each -- the SPRT will read more confident than the evidence warrants
      3 games  .... llr +0.00 [-2.94, 2.94] after 1 pairs, elo +0.0 +/- inf
      6 games  .... llr -0.26 [-2.94, 2.94] after 2 pairs, elo -88.7 +/- 173.8
      7 games  .... llr -0.02 [-2.94, 2.94] after 3 pairs, elo -0.0 +/- 222.8
     11 games  .... llr -0.15 [-2.94, 2.94] after 4 pairs, elo -43.7 +/- 168.3
     12 games  .... llr -0.33 [-2.94, 2.94] after 5 pairs, elo -70.4 +/- 138.0
     13 games  .... llr -0.16 [-2.94, 2.94] after 6 pairs, elo -29.0 +/- 140.4
     14 games  .... llr -0.31 [-2.94, 2.94] after 7 pairs, elo -50.0 +/- 123.8
     18 games  .... llr -0.36 [-2.94, 2.94] after 8 pairs, elo -43.7 +/- 107.6
     19 games  .... llr -0.42 [-2.94, 2.94] after 9 pairs, elo -38.8 +/- 95.2
     20 games  .... llr -0.24 [-2.94, 2.94] after 10 pairs, elo -17.4 +/- 95.6
     22 games  .... llr -0.41 [-2.94, 2.94] after 11 pairs, elo -47.7 +/- 104.4
     24 games  .... llr -0.46 [-2.94, 2.94] after 12 pairs, elo -43.7 +/- 95.5
     26 games  .... llr -0.32 [-2.94, 2.94] after 13 pairs, elo -26.8 +/- 94.1
     28 games  .... llr -0.21 [-2.94, 2.94] after 14 pairs, elo -12.4 +/- 92.1
     30 games  .... llr -0.23 [-2.94, 2.94] after 15 pairs, elo -11.6 +/- 85.6
     32 games  .... llr -0.41 [-2.94, 2.94] after 16 pairs, elo -32.7 +/- 89.7
     34 games  .... llr -0.31 [-2.94, 2.94] after 17 pairs, elo -20.5 +/- 87.9
     38 games  .... llr -0.43 [-2.94, 2.94] after 18 pairs, elo -29.0 +/- 84.2
     39 games  .... llr -0.46 [-2.94, 2.94] after 19 pairs, elo -27.5 +/- 79.7
