stage 1: crash gate, 144-caporder vs random
  clean over 24 games, 100% vs random

stage 2: SPRT[0, 20], challenger vs champion
  note: 300 pairs over 119 openings, 2.5 repeats each -- the SPRT will read more confident than the evidence warrants
      3 games  .... llr +0.00 [-2.94, 2.94] after 1 pairs, elo +0.0 +/- inf
      4 games  .... llr +1.35 [-2.94, 2.94] after 2 pairs, elo +190.8 +/- 169.9
      7 games  .... llr +2.03 [-2.94, 2.94] after 3 pairs, elo +190.8 +/- 129.1
      9 games  .... llr +1.27 [-2.94, 2.94] after 4 pairs, elo +137.0 +/- 114.9
     11 games  .... llr +2.13 [-2.94, 2.94] after 5 pairs, elo +147.2 +/- 91.5
     13 games  .... llr +1.58 [-2.94, 2.94] after 6 pairs, elo +120.4 +/- 89.5
     14 games  .... llr +1.45 [-2.94, 2.94] after 7 pairs, elo +102.1 +/- 81.3
     16 games  .... llr +1.42 [-2.94, 2.94] after 8 pairs, elo +88.7 +/- 73.3
     18 games  .... llr +1.44 [-2.94, 2.94] after 9 pairs, elo +78.5 +/- 66.4
     20 games  .... llr +0.19 [-2.94, 2.94] after 10 pairs, elo +34.9 +/- 106.1
     22 games  .... llr +0.21 [-2.94, 2.94] after 11 pairs, elo +31.7 +/- 94.9
     25 games  .... llr +0.39 [-2.94, 2.94] after 12 pairs, elo +58.5 +/- 107.9
     27 games  .... llr +0.53 [-2.94, 2.94] after 13 pairs, elo +67.7 +/- 102.3
     28 games  .... llr +0.20 [-2.94, 2.94] after 14 pairs, elo +37.4 +/- 110.2
     30 games  .... llr +0.21 [-2.94, 2.94] after 15 pairs, elo +34.9 +/- 101.7
     32 games  .... llr +0.10 [-2.94, 2.94] after 16 pairs, elo +21.7 +/- 97.0
     34 games  .... llr +0.11 [-2.94, 2.94] after 17 pairs, elo +20.5 +/- 90.6
     36 games  .... llr +0.11 [-2.94, 2.94] after 18 pairs, elo +19.3 +/- 85.1
     39 games  .... llr -0.01 [-2.94, 2.94] after 19 pairs, elo +9.1 +/- 82.2
