stage 1: crash gate, 149-v94wdl vs random
  clean over 24 games, 100% vs random

stage 2: SPRT[0, 20], challenger vs champion
  note: 300 pairs over 119 openings, 2.5 repeats each -- the SPRT will read more confident than the evidence warrants
      3 games  .... llr +0.00 [-2.94, 2.94] after 1 pairs, elo +0.0 +/- inf
      6 games  .... llr +0.20 [-2.94, 2.94] after 2 pairs, elo +88.7 +/- 241.5
      7 games  .... llr +0.29 [-2.94, 2.94] after 3 pairs, elo +58.5 +/- 129.3
      8 games  .... llr -0.04 [-2.94, 2.94] after 4 pairs, elo -0.0 +/- 147.2
     10 games  .... llr +0.15 [-2.94, 2.94] after 5 pairs, elo +70.4 +/- 230.7
     13 games  .... llr -0.02 [-2.94, 2.94] after 6 pairs, elo -0.0 +/- 222.8
     14 games  .... llr +0.08 [-2.94, 2.94] after 7 pairs, elo +50.0 +/- 249.3
     16 games  .... llr +0.09 [-2.94, 2.94] after 8 pairs, elo +43.7 +/- 200.5
     19 games  .... llr +0.10 [-2.94, 2.94] after 9 pairs, elo +38.8 +/- 169.3
     21 games  .... llr +0.18 [-2.94, 2.94] after 10 pairs, elo +52.5 +/- 156.4
     23 games  .... llr +0.19 [-2.94, 2.94] after 11 pairs, elo +47.7 +/- 137.8
     24 games  .... llr +0.32 [-2.94, 2.94] after 12 pairs, elo +73.5 +/- 146.0
     26 games  .... llr +0.45 [-2.94, 2.94] after 13 pairs, elo +95.9 +/- 152.2
     28 games  .... llr +0.55 [-2.94, 2.94] after 14 pairs, elo +102.1 +/- 141.9
     30 games  .... llr +0.58 [-2.94, 2.94] after 15 pairs, elo +94.9 +/- 128.5
     32 games  .... llr +0.48 [-2.94, 2.94] after 16 pairs, elo +77.2 +/- 120.6
     34 games  .... llr +0.58 [-2.94, 2.94] after 17 pairs, elo +83.3 +/- 114.8
     36 games  .... llr +0.48 [-2.94, 2.94] after 18 pairs, elo +68.4 +/- 109.0
     38 games  .... llr +0.50 [-2.94, 2.94] after 19 pairs, elo +64.7 +/- 102.0
