stage 1: crash gate, 150-sfnet vs random
  clean over 24 games, 100% vs random

stage 2: SPRT[0, 20], challenger vs champion
  note: 300 pairs over 119 openings, 2.5 repeats each -- the SPRT will read more confident than the evidence warrants
      4 games  .... llr +0.00 [-2.94, 2.94] after 1 pairs, elo +0.0 +/- inf
      5 games  .... llr -0.08 [-2.94, 2.94] after 2 pairs, elo -0.0 +/- 98.9
      7 games  .... llr +0.29 [-2.94, 2.94] after 3 pairs, elo +58.5 +/- 129.3
     10 games  .... llr +0.35 [-2.94, 2.94] after 4 pairs, elo +43.7 +/- 91.3
     12 games  .... llr -0.07 [-2.94, 2.94] after 5 pairs, elo -0.0 +/- 111.3
     13 games  .... llr -0.27 [-2.94, 2.94] after 6 pairs, elo -29.0 +/- 105.9
     14 games  .... llr -0.34 [-2.94, 2.94] after 7 pairs, elo -24.9 +/- 89.6
     18 games  .... llr -0.09 [-2.94, 2.94] after 8 pairs, elo -0.0 +/- 93.2
     19 games  .... llr -0.12 [-2.94, 2.94] after 9 pairs, elo -0.0 +/- 81.7
     21 games  .... llr -0.33 [-2.94, 2.94] after 10 pairs, elo -17.4 +/- 80.1
     22 games  .... llr -0.54 [-2.94, 2.94] after 11 pairs, elo -31.7 +/- 77.4
     24 games  .... llr -0.09 [-2.94, 2.94] after 12 pairs, elo -0.0 +/- 96.1
     26 games  .... llr +0.03 [-2.94, 2.94] after 13 pairs, elo +13.4 +/- 93.3
     28 games  .... llr +0.15 [-2.94, 2.94] after 14 pairs, elo +24.9 +/- 90.4
     31 games  .... llr +0.02 [-2.94, 2.94] after 15 pairs, elo +11.6 +/- 87.1
     32 games  .... llr +0.22 [-2.94, 2.94] after 16 pairs, elo +32.7 +/- 94.4
     35 games  .... llr +0.33 [-2.94, 2.94] after 17 pairs, elo +41.1 +/- 91.1
     36 games  .... llr +0.34 [-2.94, 2.94] after 18 pairs, elo +38.8 +/- 85.4
     39 games  .... llr +0.09 [-2.94, 2.94] after 19 pairs, elo +18.3 +/- 89.2
     40 games  .... llr +0.18 [-2.94, 2.94] after 20 pairs, elo +26.1 +/- 86.7
     42 games  .... llr +0.28 [-2.94, 2.94] after 21 pairs, elo +33.2 +/- 84.3
     45 games  .... llr +0.28 [-2.94, 2.94] after 22 pairs, elo +31.7 +/- 80.0
     46 games  .... llr +0.39 [-2.94, 2.94] after 23 pairs, elo +37.9 +/- 78.0
     48 games  .... llr +0.50 [-2.94, 2.94] after 24 pairs, elo +43.7 +/- 76.0
     50 games  .... llr +0.61 [-2.94, 2.94] after 25 pairs, elo +49.0 +/- 74.1
     53 games  .... llr +0.63 [-2.94, 2.94] after 26 pairs, elo +47.1 +/- 71.0
     54 games  .... llr +0.75 [-2.94, 2.94] after 27 pairs, elo +51.9 +/- 69.4
     56 games  .... llr +0.44 [-2.94, 2.94] after 28 pairs, elo +37.4 +/- 72.0
     59 games  .... llr +0.33 [-2.94, 2.94] after 29 pairs, elo +30.0 +/- 70.4
     60 games  .... llr +0.34 [-2.94, 2.94] after 30 pairs, elo +29.0 +/- 67.8
     63 games  .... llr +0.23 [-2.94, 2.94] after 31 pairs, elo +22.4 +/- 66.5
     64 games  .... llr +0.23 [-2.94, 2.94] after 32 pairs, elo +21.7 +/- 64.3
     67 games  .... llr +0.33 [-2.94, 2.94] after 33 pairs, elo +26.4 +/- 63.2
     68 games  .... llr +0.22 [-2.94, 2.94] after 34 pairs, elo +20.5 +/- 62.1
     70 games  .... llr +0.32 [-2.94, 2.94] after 35 pairs, elo +24.9 +/- 61.1
     72 games  .... llr +0.09 [-2.94, 2.94] after 36 pairs, elo +14.5 +/- 62.5
     74 games  .... llr +0.09 [-2.94, 2.94] after 37 pairs, elo +14.1 +/- 60.7
