stage 1: crash gate, 153-mixnet2 vs random
  clean over 24 games, 100% vs random

stage 2: SPRT[0, 20], challenger vs champion
  note: 300 pairs over 119 openings, 2.5 repeats each -- the SPRT will read more confident than the evidence warrants
      5 games  .... llr +0.00 [-2.94, 2.94] after 1 pairs, elo +0.0 +/- inf
      6 games  .... llr -0.08 [-2.94, 2.94] after 2 pairs, elo -0.0 +/- 98.9
      7 games  .... llr -0.12 [-2.94, 2.94] after 3 pairs, elo -0.0 +/- 80.0
      8 games  .... llr -0.26 [-2.94, 2.94] after 4 pairs, elo -88.7 +/- 173.8
     11 games  .... llr -0.12 [-2.94, 2.94] after 5 pairs, elo -34.9 +/- 173.9
     13 games  .... llr -0.16 [-2.94, 2.94] after 6 pairs, elo -29.0 +/- 140.4
     14 games  .... llr -0.30 [-2.94, 2.94] after 7 pairs, elo -75.6 +/- 148.1
     16 games  .... llr -0.45 [-2.94, 2.94] after 8 pairs, elo -112.3 +/- 146.9
     19 games  .... llr -0.20 [-2.94, 2.94] after 9 pairs, elo -58.5 +/- 164.2
     20 games  .... llr -0.15 [-2.94, 2.94] after 10 pairs, elo -34.9 +/- 155.3
     22 games  .... llr -0.03 [-2.94, 2.94] after 11 pairs, elo -0.0 +/- 163.3
     24 games  .... llr -0.04 [-2.94, 2.94] after 12 pairs, elo -0.0 +/- 147.2
     26 games  .... llr +0.02 [-2.94, 2.94] after 13 pairs, elo +13.4 +/- 139.7
     28 games  .... llr +0.12 [-2.94, 2.94] after 14 pairs, elo +37.4 +/- 144.4
     30 games  .... llr +0.13 [-2.94, 2.94] after 15 pairs, elo +34.9 +/- 132.4
     32 games  .... llr +0.14 [-2.94, 2.94] after 16 pairs, elo +32.7 +/- 122.5
     34 games  .... llr +0.07 [-2.94, 2.94] after 17 pairs, elo +20.5 +/- 115.3
     36 games  .... llr +0.07 [-2.94, 2.94] after 18 pairs, elo +19.3 +/- 108.0
     38 games  .... llr +0.07 [-2.94, 2.94] after 19 pairs, elo +18.3 +/- 101.6
