stage 1: crash gate, 155-mixnet2s vs random
  clean over 24 games, 100% vs random

stage 2: SPRT[0, 20], challenger vs champion
  note: 300 pairs over 119 openings, 2.5 repeats each -- the SPRT will read more confident than the evidence warrants
      4 games  .... llr +0.00 [-2.94, 2.94] after 1 pairs, elo +0.0 +/- inf
      6 games  .... llr -0.26 [-2.94, 2.94] after 2 pairs, elo -88.7 +/- 173.8
      7 games  .... llr -0.40 [-2.94, 2.94] after 3 pairs, elo -58.5 +/- 114.5
      8 games  .... llr -0.04 [-2.94, 2.94] after 4 pairs, elo -0.0 +/- 147.2
     11 games  .... llr -0.21 [-2.94, 2.94] after 5 pairs, elo -34.9 +/- 129.8
     13 games  .... llr +0.06 [-2.94, 2.94] after 6 pairs, elo +29.0 +/- 186.4
     14 games  .... llr +0.18 [-2.94, 2.94] after 7 pairs, elo +75.6 +/- 216.1
     16 games  .... llr +0.21 [-2.94, 2.94] after 8 pairs, elo +65.9 +/- 174.4
     19 games  .... llr +0.23 [-2.94, 2.94] after 9 pairs, elo +58.5 +/- 147.5
     20 games  .... llr +0.13 [-2.94, 2.94] after 10 pairs, elo +34.9 +/- 134.3
     22 games  .... llr +0.22 [-2.94, 2.94] after 11 pairs, elo +47.7 +/- 126.2
     24 games  .... llr +0.24 [-2.94, 2.94] after 12 pairs, elo +43.7 +/- 113.4
     27 games  .... llr +0.25 [-2.94, 2.94] after 13 pairs, elo +40.3 +/- 103.1
     28 games  .... llr +0.37 [-2.94, 2.94] after 14 pairs, elo +50.0 +/- 98.6
     31 games  .... llr +0.39 [-2.94, 2.94] after 15 pairs, elo +46.6 +/- 91.0
     33 games  .... llr +0.25 [-2.94, 2.94] after 16 pairs, elo +32.7 +/- 88.0
     34 games  .... llr +0.37 [-2.94, 2.94] after 17 pairs, elo +41.1 +/- 85.2
     37 games  .... llr +0.38 [-2.94, 2.94] after 18 pairs, elo +38.8 +/- 79.9
     39 games  .... llr +0.24 [-2.94, 2.94] after 19 pairs, elo +27.5 +/- 77.9
     40 games  .... llr +0.24 [-2.94, 2.94] after 20 pairs, elo +26.1 +/- 73.7
     42 games  .... llr +0.44 [-2.94, 2.94] after 21 pairs, elo +41.6 +/- 78.3
     46 games  .... llr +0.61 [-2.94, 2.94] after 22 pairs, elo +55.7 +/- 81.9
     47 games  .... llr +0.73 [-2.94, 2.94] after 23 pairs, elo +61.0 +/- 79.5
     48 games  .... llr +0.60 [-2.94, 2.94] after 24 pairs, elo +51.0 +/- 77.6
     50 games  .... llr +0.47 [-2.94, 2.94] after 25 pairs, elo +41.9 +/- 75.7
     52 games  .... llr +0.58 [-2.94, 2.94] after 26 pairs, elo +47.1 +/- 73.9
     54 games  .... llr +0.70 [-2.94, 2.94] after 27 pairs, elo +51.9 +/- 72.2
     56 games  .... llr +0.72 [-2.94, 2.94] after 28 pairs, elo +50.0 +/- 69.3
     59 games  .... llr +0.73 [-2.94, 2.94] after 29 pairs, elo +48.2 +/- 66.7
     60 games  .... llr +0.90 [-2.94, 2.94] after 30 pairs, elo +58.5 +/- 68.8
     63 games  .... llr +0.92 [-2.94, 2.94] after 31 pairs, elo +56.5 +/- 66.3
     66 games  .... llr +0.94 [-2.94, 2.94] after 32 pairs, elo +54.7 +/- 64.0
     67 games  .... llr +0.96 [-2.94, 2.94] after 33 pairs, elo +53.1 +/- 61.9
     68 games  .... llr +1.09 [-2.94, 2.94] after 34 pairs, elo +56.7 +/- 60.8
     70 games  .... llr +1.26 [-2.94, 2.94] after 35 pairs, elo +65.3 +/- 62.4
     72 games  .... llr +1.42 [-2.94, 2.94] after 36 pairs, elo +73.5 +/- 63.8
     75 games  .... llr +1.44 [-2.94, 2.94] after 37 pairs, elo +71.4 +/- 61.9
