stage 1: crash gate, 160-v95 vs random
  clean over 24 games, 100% vs random

stage 2: SPRT[0, 20], challenger vs champion
  note: 300 pairs over 119 openings, 2.5 repeats each -- the SPRT will read more confident than the evidence warrants
      5 games  .... llr +0.00 [-2.94, 2.94] after 1 pairs, elo +0.0 +/- inf
      6 games  .... llr -0.01 [-2.94, 2.94] after 2 pairs, elo -0.0 +/- 798.3
      7 games  .... llr +0.07 [-2.94, 2.94] after 3 pairs, elo +58.5 +/- 343.5
     10 games  .... llr +0.10 [-2.94, 2.94] after 4 pairs, elo +43.7 +/- 194.0
     12 games  .... llr -0.03 [-2.94, 2.94] after 5 pairs, elo -0.0 +/- 163.3
     13 games  .... llr +0.13 [-2.94, 2.94] after 6 pairs, elo +58.5 +/- 211.6
     14 games  .... llr +0.05 [-2.94, 2.94] after 7 pairs, elo +24.9 +/- 176.1
     17 games  .... llr +0.05 [-2.94, 2.94] after 8 pairs, elo +21.7 +/- 147.8
     19 games  .... llr +0.05 [-2.94, 2.94] after 9 pairs, elo +19.3 +/- 127.8
     20 games  .... llr +0.15 [-2.94, 2.94] after 10 pairs, elo +34.9 +/- 120.7
     24 games  .... llr +0.27 [-2.94, 2.94] after 11 pairs, elo +47.7 +/- 114.0
     25 games  .... llr +0.39 [-2.94, 2.94] after 12 pairs, elo +58.5 +/- 107.9
     27 games  .... llr +0.53 [-2.94, 2.94] after 13 pairs, elo +67.7 +/- 102.3
     28 games  .... llr +0.68 [-2.94, 2.94] after 14 pairs, elo +75.6 +/- 97.1
     30 games  .... llr +0.84 [-2.94, 2.94] after 15 pairs, elo +94.9 +/- 104.0
     33 games  .... llr +0.87 [-2.94, 2.94] after 16 pairs, elo +88.7 +/- 96.0
     34 games  .... llr +0.69 [-2.94, 2.94] after 17 pairs, elo +72.6 +/- 93.4
     36 games  .... llr +0.72 [-2.94, 2.94] after 18 pairs, elo +68.4 +/- 87.3
     39 games  .... llr +0.37 [-2.94, 2.94] after 19 pairs, elo +46.0 +/- 92.3
