stage 1: crash gate, 183-v95-vs-v94 vs random
  clean over 24 games, 100% vs random

stage 2: SPRT[0, 20], challenger vs champion
  note: 300 pairs over 119 openings, 2.5 repeats each -- the SPRT will read more confident than the evidence warrants
      4 games  .... llr +0.00 [-2.94, 2.94] after 1 pairs, elo +0.0 +/- inf  [pair 2 0.25]
      6 games  .... llr -0.72 [-2.94, 2.94] after 2 pairs, elo -338.0 +/- 245.6  [pair 1 0]
      7 games  .... llr -1.44 [-2.94, 2.94] after 3 pairs, elo -279.6 +/- 156.6  [pair 0 0.25]
     10 games  .... llr -0.23 [-2.94, 2.94] after 4 pairs, elo -137.0 +/- 222.6  [pair 5 0.75]
     11 games  .... llr -0.41 [-2.94, 2.94] after 5 pairs, elo -147.2 +/- 175.1  [pair 3 0.25]
     13 games  .... llr -0.47 [-2.94, 2.94] after 6 pairs, elo -120.4 +/- 148.2  [pair 4 0.5]
     14 games  .... llr -0.53 [-2.94, 2.94] after 7 pairs, elo -102.1 +/- 128.5  [pair 6 0.5]
     16 games  .... llr -0.17 [-2.94, 2.94] after 8 pairs, elo -43.7 +/- 158.5  [pair 7 1]
     18 games  .... llr -0.20 [-2.94, 2.94] after 9 pairs, elo -38.8 +/- 139.3  [pair 8 0.5]
     20 games  .... llr -0.23 [-2.94, 2.94] after 10 pairs, elo -34.9 +/- 124.3  [pair 9 0.5]
     24 games  .... llr -0.34 [-2.94, 2.94] after 11 pairs, elo -47.7 +/- 114.4  [pair 10 0.25]
     25 games  .... llr -0.48 [-2.94, 2.94] after 12 pairs, elo -73.5 +/- 115.7  [pair 11 0]
     26 games  .... llr -0.61 [-2.94, 2.94] after 13 pairs, elo -81.6 +/- 107.9  [pair 12 0.25]
     28 games  .... llr -0.34 [-2.94, 2.94] after 14 pairs, elo -50.0 +/- 116.4  [pair 13 1]
     30 games  .... llr -0.18 [-2.94, 2.94] after 15 pairs, elo -23.2 +/- 121.8  [pair 14 1]
     32 games  .... llr -0.20 [-2.94, 2.94] after 16 pairs, elo -21.7 +/- 113.6  [pair 15 0.5]
     35 games  .... llr -0.32 [-2.94, 2.94] after 17 pairs, elo -41.1 +/- 112.5  [pair 16 0]
     36 games  .... llr -0.34 [-2.94, 2.94] after 18 pairs, elo -38.8 +/- 106.0  [pair 17 0.5]
     38 games  .... llr -0.46 [-2.94, 2.94] after 19 pairs, elo -55.3 +/- 105.1  [pair 18 0]
     41 games  .... llr -0.30 [-2.94, 2.94] after 20 pairs, elo -34.9 +/- 107.7  [pair 19 1]
     42 games  .... llr -0.41 [-2.94, 2.94] after 21 pairs, elo -50.0 +/- 106.3  [pair 20 0]
     44 games  .... llr -0.43 [-2.94, 2.94] after 22 pairs, elo -47.7 +/- 101.4  [pair 21 0.5]
     47 games  .... llr -0.46 [-2.94, 2.94] after 23 pairs, elo -45.6 +/- 96.9  [pair 22 0.5]
     49 games  .... llr -0.54 [-2.94, 2.94] after 24 pairs, elo -51.0 +/- 93.3  [pair 23 0.25]
     50 games  .... llr -0.57 [-2.94, 2.94] after 25 pairs, elo -49.0 +/- 89.6  [pair 24 0.5]
     52 games  .... llr -0.59 [-2.94, 2.94] after 26 pairs, elo -47.1 +/- 86.1  [pair 25 0.5]
     54 games  .... llr -0.53 [-2.94, 2.94] after 27 pairs, elo -38.8 +/- 84.4  [pair 26 0.75]
     56 games  .... llr -0.37 [-2.94, 2.94] after 28 pairs, elo -24.9 +/- 85.9  [pair 27 1]
     58 games  .... llr -0.45 [-2.94, 2.94] after 29 pairs, elo -30.0 +/- 83.4  [pair 28 0.25]
     61 games  .... llr -0.47 [-2.94, 2.94] after 30 pairs, elo -29.0 +/- 80.6  [pair 30 0.5]
     62 games  .... llr -0.55 [-2.94, 2.94] after 31 pairs, elo -33.7 +/- 78.4  [pair 29 0.25]
     64 games  .... llr -0.57 [-2.94, 2.94] after 32 pairs, elo -32.7 +/- 75.9  [pair 31 0.5]
     66 games  .... llr -0.59 [-2.94, 2.94] after 33 pairs, elo -31.7 +/- 73.6  [pair 32 0.5]
     69 games  .... llr -0.53 [-2.94, 2.94] after 34 pairs, elo -25.6 +/- 72.4  [pair 33 0.75]
     70 games  .... llr -0.61 [-2.94, 2.94] after 35 pairs, elo -29.9 +/- 70.7  [pair 34 0.25]
     72 games  .... llr -0.71 [-2.94, 2.94] after 36 pairs, elo -33.9 +/- 69.2  [pair 35 0.25]
     74 games  .... llr -0.73 [-2.94, 2.94] after 37 pairs, elo -33.0 +/- 67.3  [pair 36 0.5]
     76 games  .... llr -0.54 [-2.94, 2.94] after 38 pairs, elo -22.9 +/- 68.5  [pair 37 1]
     78 games  .... llr -0.56 [-2.94, 2.94] after 39 pairs, elo -22.3 +/- 66.7  [pair 38 0.5]
     80 games  .... llr -0.58 [-2.94, 2.94] after 40 pairs, elo -21.7 +/- 65.0  [pair 39 0.5]
